Gene Name,Common-Name,Accession-1
EG12443,yggL,b2959
EG10075,aroC,b2329
EG11118,rluC,b1086
G7425,cas1,b2755
G6277,hyi,b0508
G6143,yagH,b0271
EG12092,nuoL,b2278
EG12336,yaeH,b0163
G0-10202,istR-1,
EG12450,norW,b2711
EG11085,rsmH,b0082
EG10052,araA,b0062
G6162,ecpC,b0291
EG11343,mdtG,b1053
G6899,ydhX,b1671
EG12361,kduD,b2842
G6141,yagF,b0269
EG12041,yejF,b2180
EG11121,yciA,b1253
EG10476,hycC,b2723
EG12422,ybiJ,b0802
EG10074,aroB,b3389
EG11023,trmD,b2607
G6805,lsrG,b1518
G6548,csgC,b1043
EG12319,|can|,b0126
G6140,yagE,b0268
EG10341,ftsI,b0084
EG12329,hrpB,b0148
EG30098,spf,b3864
EG12318,cueO,b0123
EG11022,trmA,b3965
G7889,lptG,b4262
EG10016,garL,b3126
G6898,ydhU,b1670
EG12285,sgbH,b3581
G6136,mmuM,b0261
EG12010,yehX,b2129
EG11110,ybgC,b0736
G6409,ybhR,b0792
EG12421,ybiI,b0803
EG10073,aroA,b0908
EG10996,tgt,b0406
EG12323,rpnE,b2244
G6557,bssS,b1060
G0-9121,yoeB,b4539
EG11844,yihR,b3879
G6135,mmuP,b0260
EG12091,nuoK,b2279
G7885,rraB,b4255
EG12237,arsC,b3503
EG10967,trmH,b3651
M011,mhpB,b0348
G6161,ecpD,b0290
EG11337,lysP,b2156
G6896,ydhS,b1668
EG11843,yihQ,b3878
G6133,ykfC,b0258
EG11959,alsA,b4087
EG10951,ytjB,b4387
EG12309,yjtD,b4403
EG10470,hyaC,b0974
EG12395,ybgE,b0735
EG11286,argE,b3957
EG10862,rnpA,b3704
G6436,bssR,b0836
EG12845,cas2,b2754
EG11444,scpA,b2917
G6130,insN-1,b0255
EG10214,ddlB,b0092
G7610,mzrA,b3096
EG12137,nlpE,b0192
EG10858,rnd,b1804
G7888,lptF,b4261
G7213,fadI,b2342
G6887,ydhF,b1647
EG11032,trxB,b0888
G6129,perR,b0254
EG11680,lptB,b3201
EG10941,selA,b3591
G6404,ybhM,b0787
EG12374,yhfG,b3362
EG11223,argH,b3960
EG10812,queA,b0405
EG12844,yefM,b2017
EG10456,hmp,b2552
G6128,ykfA,b0253
EG12090,nuoJ,b2280
EG12291,yiaW,b3587
G7063,mtfA,b1976
EG12115,yjjG,b4374
EG10690,pcnB,b0143
G7212,fadJ,b2341
G6883,ydhI,b1643
EG11330,gabP,b2663
G6160,ecpE,b0289
EG10425,hdhA,b1619
G6127,yafZ,b0252
EG11677,modF,b0760
EG10854,rlpA,b0633
EG12225,yhiJ,b3488
EG10462,htpX,b1829
EG10069,argI,b4254
EG10523,rsmA,b0051
EG12634,cas3,b2761
G7093,galF,b2042
G6125,ykfB,b0250
EG12280,yiaL,b3576
EG10213,ddlA,b0381
G6925,ydiV,b1707
EG12108,norR,b2709
EG10454,truA,b2318
G7849,yjfL,b4184
G6244,fadM,b0443
G6856,ydgD,b1598
EG11789,gmm,b2051
G6124,ykfF,b0249
EG11657,ybbA,b0495
EG10849,rhsD,b0497
G6400,ybhI,b0770
EG12201,ygaC,b2671
EG10068,argG,b3172
EG10376,rsmG,b3740
EG11933,pspG,b4050
EG11428,sthA,b3962
G6123,yafX,b0248
EG12088,nuoH,b2282
EG12273,yiaF,b3554
G6603,bluF,b1163
EG12026,yeiG,b2154
EG10375,mnmG,b3741
G6200,prpE,b0335
EG11327,codB,b0336
G6816,ydfI,b1542
EG11735,efeB,b1019
EG11060,ushA,b0480
G6122,ykfG,b0247
EG11630,potG,b0855
EG10847,rhsB,b3482
EG10406,gltS,b3653
EG12171,yjjI,b4380
EG10065,argC,b3958
EG10343,rsmD,b3465
EG10668,ogt,b1335
EG11489,csgA,b1042
G7677,nanE,b3223
G6121,yafW,b0246
EG10206,dapB,b0031
EG12269,yhjY,b3548
G0-8910,glmY,b4441
EG11969,zntR,b3292
EG10136,cca,b3056
G7840,mscM,b4159
G6199,prpD,b0334
G6815,ydfZ,b1541
G7676,nanK,b3222
G6120,ykfI,b0245
EG11624,artP,b0864
EG10846,rhsA,b3593
G6393,zitB,b0752
EG12119,ychJ,b1233
EG10064,argB,b3959
G7842,orn,b4162
EG10612,mrr,b4351
EG11252,mukE,b0923
EG10637,nanA,b3225
G0-9621,torI,b4501
EG12082,nuoA,b2288
EG12263,bcsE,b3536
G0-8867,gcvB,b4443
EG11870,yiiM,b3910
G7830,ghoS,b4128
G6198,prpC,b0333
EG11313,rhaT,b3907
G6796,yneL,b1506
G7903,yjhE,b4282
EG10633,nagB,b0678
G0-10584,ylcH,b4588
EG11621,metN,b0199
EG10780,pspE,b1308
EG10405,gltP,b4077
EG12042,yejG,b2181
EG10063,argA,b2818
G7629,yhaV,b3130
EG10460,hsdS,b4348
EG11250,chpS,b4224
EG10632,nagA,b0677
G0-10452,ynfO,b4533
G7459,rppH,b2830
EG10202,dacB,b3182
EG12262,yhjR,b3535
G0-8785,csrB,b4408
EG11852,dtd,b3887
G7175,rbn,b2268
G7808,tatB,b3838
G6196,prpB,b0331
G6795,ydeT,b1505
EG10095,aspA,b4139
G0-10449,rzoR,b4528
G0-10451,hicA,b4532
EG11572,thiQ,b0066
EG10412,gor,b3500
G6384,abrB,b0715
EG11999,yehM,b2120
EG10769,proC,b0386
EG30069,rnpB,b3123
EG10458,hsdM,b4349
EG11244,yggE,b2922
G6842,speG,b1584
G0-10436,rzoD,b4510
EG11620,rnb,b1286
EG12077,nikC,b3478
EG12256,pdeK,b3529
G0-16649,cpxQ,b4716
EG11847,yihU,b3882
EG11547,rnt,b1652
G6105,fadE,b0221
EG11305,tatE,b0627
G6792,ydeQ,b1502
G7822,phnE_2,b4103
EG12882,gss,b2988
G0-10435,ylcG,b4509
EG11259,rnr,b4179
EG11048,ugpC,b3450
EG10397,glpG,b3424
EG10401,glpT,b2240
EG11991,yehE,b2112
EG10768,proB,b0242
EG10863,rph,b3643
EG10211,dcm,b1961
G7656,obgE,b3183
EG10963,speE,b0121
EG31115,dicF,b1574
EG10861,rnhB,b0183
EG10125,bolA,b0435
EG12251,yhjG,b3524
G0-10617,sgrT,b4662
EG11758,yjeF,b4167
EG10860,rnhA,b0214
G7806,tatA,b3836
EG12432,ydiF,b1694
G6785,yddW,b1491
EG10962,speD,b0120
EG12877,ycfK,b1154
EG10859,rne,b1084
EG10814,rbsA,b3749
EG10395,glpE,b3425
G6378,dtpD,b0709
EG11931,yjbM,b4048
EG10767,proA,b0243
EG10857,rnc,b2567
EG10204,dam,b3387
EG12780,diaA,b3149
EG10961,speC,b2965
EG12370,intE,b1140
EG10856,rna,b0611
EG12076,nikB,b3477
EG12212,yhhL,b3466
G0-10580,uof,b4637
EG11723,yieF,b3713
EG10844,rhlB,b3780
EG12357,fadK,b1701
G7798,yifN,b3777
EG11283,phnE_1,b4104
G6773,yddL,b1472
EG10960,speB,b2937
EG12364,intB,b4271
EG10743,pnp,b3164
EG10783,pstB,b3725
EG10307,fic,b3361
EG10396,glpF,b3927
EG11903,yijF,b3944
EG10096,aspC,b0928
G7991,cysT,b1910
G7189,yfbV,b2295
EG11210,crfC,b4109
EG10959,speA,b2938
EG12344,pspF,b1303
G7387,ileY,b2652
EG10041,ampD,b0110
EG12159,ppnP,b0391
EG12146,rapZ,b3205
EG11648,dkgB,b0207
G7069,asnW,b1984
G7753,yhgN,b3434
EG11670,atoA,b2222
G6772,yddK,b1471
EG11417,nrdD,b4238
EG12339,yagB,b0266
G7021,cmoB,b1871
EG10749,potA,b1126
EG10266,acrE,b3265
G6361,ybeX,b0658
EG11876,yiiS,b3922
EG10092,asnB,b0674
G7020,cmoA,b1870
EG11111,cspD,b0880
EG11203,yihA,b3865
EG10626,mutT,b0099
EG12338,yagA,b0267
G6392,lysQ,b0749
EG12070,yojI,b2211
EG12139,qseG,b2555
EG12096,chpB,b4225
EG11421,cynR,b0338
G6391,lysZ,b0748
EG11669,atoD,b2221
G7760,yrhA,b3443
EG11282,hyfB,b2482
G6771,yddJ,b1470
G6862,folM,b1606
EG12205,cspF,b1558
G6390,lysY,b0747
EG10592,mglA,b2149
EG10218,dedD,b2314
EG10393,glpC,b2243
EG11830,yihD,b3858
EG10091,asnA,b3744
G6389,valZ,b0746
EG10596,minC,b1176
EG11819,purU,b1232
EG12203,cspB,b1557
